delivery_start,cancellation_event_received_at,attributed_partner,attributed_channel_group,cancellation_reason
2025-04-29 00:00:00+00:00,2025-06-27 14:24:07+00:00,PartnerA,GroupA,CustomerRelocationRetained
,,PartnerA,GroupA,
2025-04-25 00:00:00+00:00,,PartnerA,GroupA,
2024-03-01 00:00:00+00:00,,PartnerA,GroupA,
2023-05-11 00:00:00+00:00,,PartnerA,GroupA,
2024-05-18 00:00:00+00:00,,PartnerA,GroupA,
2024-07-29 00:00:00+00:00,,PartnerA,GroupA,
,,PartnerA,GroupA,
,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,2025-08-21 20:10:29+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2025-08-05 00:00:00+00:00,,PartnerA,GroupA,
2023-06-01 00:00:00+00:00,2023-08-22 19:33:29+00:00,PartnerA,GroupA,OtherSupplier
2024-05-01 00:00:00+00:00,,PartnerA,GroupA,
2025-08-19 00:00:00+00:00,,PartnerA,GroupA,
2023-09-21 00:00:00+00:00,2024-03-18 14:53:05+00:00,PartnerA,GroupA,CustomerRelocation
2023-04-06 00:00:00+00:00,2024-02-02 21:36:42+00:00,PartnerA,GroupA,CustomerRelocation
2024-11-13 00:00:00+00:00,,PartnerA,GroupA,
2025-02-15 00:00:00+00:00,,PartnerA,GroupA,
2025-04-30 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,,PartnerA,GroupA,
2023-12-05 00:00:00+00:00,,PartnerA,GroupA,
2023-06-18 00:00:00+00:00,2023-11-07 22:40:11+00:00,PartnerA,GroupA,CustomerRelocation
2024-07-24 00:00:00+00:00,,PartnerA,GroupA,
2025-02-01 00:00:00+00:00,,PartnerA,GroupA,
2024-05-01 00:00:00+00:00,,PartnerA,GroupA,
2024-10-02 00:00:00+00:00,,PartnerA,GroupA,
2025-05-19 00:00:00+00:00,,PartnerA,GroupA,
2025-05-01 00:00:00+00:00,,PartnerA,GroupA,
2024-03-01 00:00:00+00:00,2025-08-11 20:14:44+00:00,PartnerA,GroupA,OtherSupplier
2024-05-01 00:00:00+00:00,,PartnerA,GroupA,
2025-07-09 00:00:00+00:00,,PartnerA,GroupA,
2025-01-01 00:00:00+00:00,2025-02-19 14:53:27+00:00,PartnerA,GroupA,OtherSupplier
,,PartnerA,GroupA,
2024-11-07 00:00:00+00:00,,PartnerA,GroupA,
2024-11-29 00:00:00+00:00,,PartnerA,GroupA,
2024-07-01 00:00:00+00:00,,PartnerA,GroupA,
